"Category","Command","Key","Bound"
"AddTrack","Arranger",,"False"
"AddTrack","Audio",,"False"
"AddTrack","Audio Mono",,"False"
"AddTrack","Chord",,"False"
"AddTrack","Drum",,"False"
"AddTrack","Folder",,"False"
"AddTrack","From Track Presets",,"False"
"AddTrack","FX Channel",,"False"
"AddTrack","Group Channel",,"False"
"AddTrack","Instrument",,"False"
"AddTrack","Marker",,"False"
"AddTrack","MIDI",,"False"
"AddTrack","OpenDialog","T","True"
"AddTrack","Ruler",,"False"
"AddTrack","Sampler",,"False"
"AddTrack","Signature",,"False"
"AddTrack","Tempo",,"False"
"AddTrack","TransposeTrack",,"False"
"AddTrack","VCA Fader",,"False"
"AddTrack","Video",,"False"
"ADM Editor","Add Bed",,"False"
"ADM Editor","Add Object",,"False"
"ADM Editor","ADM Editor...",,"False"
"ADM Editor","Apply Source Track Name",,"False"
"ADM Editor","Create objects from selected tracks",,"False"
"ADM Editor","Open Group Editor",,"False"
"ADM Editor","Open Trim and Downmix Editor",,"False"
"ADM Editor","Remove Selected Audio Object",,"False"
"Analyze","Spectrum Analyzer",,"False"
"Analyze","Statistics",,"False"
"Arranger","Activate",,"False"
"Arranger","First Chain Step",,"False"
"Arranger","First Repeat",,"False"
"Arranger","Last Chain Step",,"False"
"Arranger","Last Repeat",,"False"
"Arranger","Next Chain Step",,"False"
"Arranger","Previous Chain Step",,"False"
"Arranger","Trigger Arranger Event 1",,"False"
"Arranger","Trigger Arranger Event 10",,"False"
"Arranger","Trigger Arranger Event 11",,"False"
"Arranger","Trigger Arranger Event 12",,"False"
"Arranger","Trigger Arranger Event 13",,"False"
"Arranger","Trigger Arranger Event 14",,"False"
"Arranger","Trigger Arranger Event 15",,"False"
"Arranger","Trigger Arranger Event 16",,"False"
"Arranger","Trigger Arranger Event 17",,"False"
"Arranger","Trigger Arranger Event 18",,"False"
"Arranger","Trigger Arranger Event 19",,"False"
"Arranger","Trigger Arranger Event 2",,"False"
"Arranger","Trigger Arranger Event 20",,"False"
"Arranger","Trigger Arranger Event 3",,"False"
"Arranger","Trigger Arranger Event 4",,"False"
"Arranger","Trigger Arranger Event 5",,"False"
"Arranger","Trigger Arranger Event 6",,"False"
"Arranger","Trigger Arranger Event 7",,"False"
"Arranger","Trigger Arranger Event 8",,"False"
"Arranger","Trigger Arranger Event 9",,"False"
"Audio","Adjust Fades to Range","A","True"
"Audio","Apply Standard Fade In",,"False"
"Audio","Apply Standard Fade Out",,"False"
"Audio","Auto-Grid","Shift+Q","True"
"Audio","Bounce",,"False"
"Audio","Close Gaps",,"False"
"Audio","Close Gaps (Crossfade)",,"False"
"Audio","Constrain Delay Compensation",,"False"
"Audio","Convert Tracks: Mono to Multi-Channel",,"False"
"Audio","Convert Tracks: Multi-Channel to Mono",,"False"
"Audio","Copy Warp Markers from Selected Event",,"False"
"Audio","Create Sampler Track",,"False"
"Audio","Crossfade","X","True"
"Audio","Decrement Event Volume",,"False"
"Audio","Decrement Fade In Length",,"False"
"Audio","Decrement Fade Out Length",,"False"
"Audio","Delete Overlaps",,"False"
"Audio","Detect Silence",,"False"
"Audio","Disable/Enable Track",,"False"
"Audio","Dissolve Part",,"False"
"Audio","Event or Range as Region",,"False"
"Audio","Events from Regions",,"False"
"Audio","Events to Part",,"False"
"Audio","Extract Markers from Wave File",,"False"
"Audio","Fade In to Cursor",,"False"
"Audio","Fade In to Range Start",,"False"
"Audio","Fade Out from Range End",,"False"
"Audio","Fade Out to Cursor",,"False"
"Audio","Find Selected in Pool",,"False"
"Audio","Generate Harmony Voices",,"False"
"Audio","Increment Event Volume",,"False"
"Audio","Increment Fade In Length",,"False"
"Audio","Increment Fade Out Length",,"False"
"Audio","Invert Phase On/Off",,"False"
"Audio","Make Extension from Selected Events Permanent",,"False"
"Audio","Minimize File",,"False"
"Audio","Open Fade Editors",,"False"
"Audio","Paste Warp Markers to Selected Events",,"False"
"Audio","Remove Event Volume Curve",,"False"
"Audio","Remove Extension from Selected Events",,"False"
"Audio","Remove Fade In",,"False"
"Audio","Remove Fade Out",,"False"
"Audio","Remove Fades",,"False"
"Audio","Set Definition From Tempo",,"False"
"Audio","Set Tempo From Event",,"False"
"Audio","Snap Point to Cursor",,"False"
"Audio","Stretch to Project Tempo",,"False"
"Audio","To Origin",,"False"
"Audio","Update Origin",,"False"
"Audio Alignment","Add Selection as Alignment Reference",,"False"
"Audio Alignment","Add Selection as Alignment Target",,"False"
"Audio Alignment","Align Audio",,"False"
"Audio Alignment","Open Audio Alignment Panel",,"False"
"Audio Alignment","Remove Alignment Reference",,"False"
"Audio Alignment","Remove All Alignment Targets",,"False"
"Audio Export","Increase Counter Start Value",,"False"
"Audio Export","Perform Audio Export",,"False"
"Audio Export","Reset Counter Start Value",,"False"
"Audio Export","Sync Channel Selection with Mixer",,"False"
"Audio Performance","Reset Processing Overload Indicator",,"False"
"Audio Realtime Processing","Create Warp Tabs from Hitpoints",,"False"
"Audio Realtime Processing","Flatten Realtime Processing",,"False"
