"Name","UID","InBus","OutBus","Latency","SidechainBus"
"Omnisphere","84E8DE5F9255222296FAE4133C935A18","0","9","0","0"
"CurveEQ","F4BA65B4AEC64C23851019475CDC8EB1","0","0","0","0"
"LoopMash FX","D503488792F2EDE2D26FF9CEA6F7635F","0","0","0","0"
"VST Connect Monitor","EBB43DF53F93450DA77BB4229E190E57","1","1","0","0"
"VST Connect CUE Mix","02968B4A891D48E88E16BC22ACFC11D8","1","1","72000","0"
"VST Connect SE","0C4DFC02D57111E18CD81AB36188709B","1","1","0","0"
"VST AmbiConverter","918A209EFE684F8D8826FE00278A33C1","0","0","0","0"
"Renderer for Dolby Atmos","E82963BD3E80F249A07EF90FBE55AC04","129","1","1058","128"
"Bitcrusher","56535441483930626974637275736865","1","1","0","0"
"DaTube","56535444615475646174756265000000","1","1","0","0"
"Grungelizer","565354477275676772756E67656C697A","0","0","0","0"
"StepFilter","565354535446497374657066696C7465","1","1","0","0"
"MidiGate","565354614774656D6964696761746500","0","0","0","0"
"Chopper","56535443686F3363686F707065720000","0","0","0","0"
"Metalizer","5653544D6574336D6574616C697A6572","1","1","0","0"
"Tranceformer","565354547266337472616E6365666F72","0","0","0","0"
"RingModulator","56535452494D4F72696E676D6F64756C","1","1","0","0"
"ModMachine","27994C1910A04BA991A20C402B922E35","1","1","0","0"
"MonoDelay","42A36F8AEE394B98BB2E8B63CB68E3E7","0","0","0","0"
"PingPongDelay","37A3AA84E3A24D069C39030EC68768E1","0","0","0","0"
"StereoDelay","001DCD3345D14A13B59DAECF75A37536","0","0","0","0"
"MultiTap Delay","9B646D06D6154F859591E3E87A5C5D0A","0","0","0","0"
"AmpSimulator","E4B91D8420B74C48A8B10F2DB9CB707E","1","1","0","0"
"Distortion","A990C1062CDE43839ECEF8FE91743DA5","0","0","0","0"
"Distroyer","C786544E675348D683EF9436D63EBD29","0","0","0","0"
"SoftClipper","4995618FDDB0459E9CECF6D9A6C9A51F","1","1","0","0"
